,Title,Price
0,b'&#127878; lots of new pokemon cards mega ex gx french squad shiny &#127878;',"JPY 1,133 to JPY 3,148"
1,"b'Lot 100 french pokemon card no 6, double rare/shiny + gift new'","JPY 1,625"
2,b'INSANE VALUE! - Graded Pokemon Card + Booster Pack & Bonus Lot: Guaranteed Hit',"JPY 5,216"
3,b'Pokemon PSA 10 GEM MINT Lillie & Clefairy CHR PROMO Full Art MINT japan import',"JPY 1,918"
4,b'200pcs Pokemon GX Carta Tutto MEGA Holo Veloce Arte Figurine Vacanza Regalo FAST',"JPY 1,747"
5,b'NEW LISTING 1999 Pokemon Japanese Promo Flying Pikachu ANA Airlines Other 4 card in total',"JPY 14,385"
6,b'NEW LISTINGPokemon Shining Legends Booster Box SM3+ - 20 Sealed Loose Packs - UK Seller (2)',"JPY 4,891"
7,b'Pokemon Sword & Shield Darkness Ablaze Booster Box of 36 Packs | New and Sealed',"JPY 15,368"
8,"b'NEW LISTINGPokemon XY Primal Clash Booster Pack x8 Groudon, Kyogre Full Art?? NEW'","JPY 4,153"
9,"b'Japanese Pokemon - Mystery Card Booster Pack - Gift, Holo, EX, Rare - Charizard?'",JPY 488
10,b'Lot of 30 pokemon cards v and vmax in english new 2020',"JPY 1,888"
11,b'NEW LISTINGPokemon XY Evolutions Blastoise Elite Trainer Box - SHIPS Today - Sealed New',"JPY 5,328"
12,b'Genuine POKEMON GX TAG TEAM Cards Tag All Stars 15Packs Booster Box',"JPY 2,949"
13,b'NEW LISTINGPokemon Card Packs- Full New Sets',"JPY 2,095"
14,b'Lot 100 different pokemon cards french &#128152; gifts &#128152; 100pv/shiny/rare',"JPY 1,625"
15,b'Darkness Ablaze Sword & Shield Booster Box Pokemon TCG English Sealed | 1 Box',"JPY 11,829"
16,b'Pokemon Card Legendary Heartbeat Booster Box Japanese [ multiple discounts ]',"JPY 6,179"
17,b'NEW LISTINGPokmon Ex Crystal Guardians Sealed Booster Pack - BLAZIKEN - Pokemon TCG CCG',"JPY 18,646"
18,b'NEW LISTINGPikachu Pokemon Center Limited Car Pokemon Card Japanese Sleeves Many 32 pcs F/S',"JPY 6,392"
19,"b""NEW LISTINGBlaine's Charizard Pokemon Card Holo Gym No 006 Nintendo Japanese Very rare F/S""","JPY 5,966"
20,"b""Pokemon Card Japanese - Team Rocket's Mimikyu GX 010/026 SMD - Holo""","JPY 2,451"
21,b'Gyarados GX SM212 PROMO - POKEMON CARD HOLO RARE NEAR MINT',JPY 241
22,"b'[Pokemon] ""Shining Legends SM3"" Booster Box'","JPY 2,058"
23,b'Togepi Pokemon card',JPY 107
24,b'Pokemon TCG XY12 EVOLUTIONS English Booster Box x1 Factory Sealed BNIB',"JPY 15,544"
25,b'NEW LISTINGCharizard Pokemon Card Holo CD Promo Base Set Japanese Very rare Nintendo F/S',"JPY 11,933"
26,b'NEW LISTINGPokemon Card TCG Legendary Heartbeat Booster Box Japanese Sword Shield Japan',"JPY 7,687"
27,b'NEW LISTING10x POKEMON SUN AND MOON SHINING LEGENDS OPENED BOOSTER PACKS',JPY 105
28,b'NEW LISTINGJapanese Pokemon Card GYM S\x81\x95M Promo vol.9 50 Packs set Limited Not for sale',"JPY 15,983"
29,b'NEW LISTINGPokemon Trading Card Game Sun & Moon Sealed Booster Pack Tag Team TCG Japan',"JPY 7,408"
30,b'NEW LISTINGAlakazam Gold Star Holo Pokemon Card PSA 9 Mint Ex Crystal Guardians 99/100',"JPY 111,677"
31,b'NEW LISTINGPOKEMON CARD MUNCH PSYDUCK MINT \x81yFROM JAPAN\x81z',"JPY 7,767"
32,b'Mewtwo Pokemon 1998 Holo Foil GB Game Boy Promo Japanese No. 150 G japan import',"JPY 6,287"
33,b'NEW LISTING2011 Pokemon Black & White Base PIKACHU #115 SECRET RARE Holo PSA 9 MINT',"JPY 2,664"
34,b'Pokemon Card S\x81\x95M Limited Promo Not for sale Nintendo Swich Sword Shield Rare',"JPY 8,523"
35,b'NEW LISTING1999 Pokemon Game MEWTWO Holo #10 PSA Gem Mt 10',"JPY 79,915"
36,b'Japanese Pokemon Pokemon Center Tokyo DX Special Box Factory Sealed',"JPY 12,573"
37,b'1 POKEMON BOOSTERS FACTORY SEALED RANDOM ALL SETS | 12 PACK',"JPY 4,313"
38,b'New Pokemon Card Rubber Playmat Storage Case ribbon F/S from Japan',"JPY 6,257"
39,b'New Pokemon Center Original Card Game Rubber Playmat black F/S from Japan',"JPY 8,060"
40,b'NEW LISTINGPokemon 9X Sword & Shield Darkness Ablaze Booster Packs - Sealed NEW English #4',"JPY 1,811"
41,b'NEW LISTINGPokemon Card Eevee Promotion Munch\x81yFROM JAPAN\x81z',"JPY 7,462"
42,b'NEW LISTINGEvolutions 2016 Charizard Pokemon Card Holo Shiny 11/108',"JPY 2,180"
43,b'NEW LISTING SSR Pokemon card Japanese NM\x81@x11',"JPY 15,344"
44,b'NEW LISTINGChansey #3 Holo Base Set Pokemon Card',"JPY 1,598"
45,"b'NEW LISTINGEspeon GX, 3 Pokemon Card Set, English, Used'","JPY 6,393"
46,b'NEW LISTINGPokemon TCG Sword & Shield Darkness Ablaze Booster Box (PRE-ORDER)',"JPY 14,904"
47,b'NEW LISTINGKABUTOPS #9/62 Holo Fossil Pokemon Card',"JPY 2,131"
48,b'NEW Pokemon Online TCGO BOOSTER / DECK TCG Codes XY / B&W / Sun & Moon Code FAST',"JPY 138 to JPY 13,976"
49,"b'NEW LISTINGBlaine, Charizard, Charmeleon, Charmander, Pokemon Card Set, Japanese, Used'","JPY 9,695"
50,b'NEW LISTINGHITMONLEE #7/62 Holo Fossil Pokemon Card',"JPY 2,131"
51,b'NEW LISTINGHAUNTER #6/62 Holo Fossil Pokemon Card',"JPY 2,131"
52,b'Pokemon Chinese Stars Collection Hidden Fates Sun & Moon Set A+B Booster Boxes',"JPY 21,310"
53,b'Pokemon Sword & Shield: Rebel Clash Booster 6-Box Case',"JPY 61,582"
54,b'NEW LISTINGMachop #8 1st Edition Holo Base Set Pokemon Card',"JPY 2,664"
55,"b""NEW LISTINGPokemon Card Japanese Happy Birthday _'s Pikachu Natta Wake Magazine From Japan""","JPY 26,992"
56,b'Pokemon Sun & Moon: Ultra Prism Booster 6-Box Case',"JPY 111,982"
57,b'NEW LISTINGPokemon XY Breakpoint 3 Card Mini Booster Blister Pack X2 plus 1 Bonus Card x2 ',"JPY 2,131"
58,b'NEW LISTINGPOKEMON SUN & MOON LOST THUNDER BOOSTER 6 BOX CASE BLOWOUT CARDS',"JPY 120,932"
59,b'NEW LISTING2 x Pokemon Shocking Volt Tackle S4 Japanese Booster Box PRE-ORDER UK 23 SEP',"JPY 16,346"
60,b'New Pokemon Center Original Pokemon Card Type Deck Case Flame F/S from Japan',"JPY 9,772"
61,b'New Pokemon Center Original Pokemon Card Type Deck Case water F/S from Japan',"JPY 9,520"
